ProblemName,Time_alns_e,Time_alns_g,Time_alns_u,Time_no-alns,PInt_alns_e,PInt_alns_g,PInt_alns_u,PInt_no-alns,Status_alns_e,Status_alns_g,Status_alns_u,Status_no-alns,LP_Iterations_dualLP_alns_e,LP_Iterations_dualLP_alns_g,LP_Iterations_dualLP_alns_u,LP_Iterations_dualLP_no-alns,TimeQ+10_alns_e,TimeQ+10_alns_g,TimeQ+10_alns_u,TimeQ+10_no-alns,PIntQ+1000_alns_e,PIntQ+1000_alns_g,PIntQ+1000_alns_u,PIntQ+1000_no-alns
eil33-2,113.2,116.14,112.88,112.86,634.1825069762209,665.1477848220717,649.3876357987324,610.874024587019,ok,ok,ok,ok,43666.0,43666.0,43666.0,43666.0,1.0027673775028487,1.026697053556894,1.0001627869119323,1.0,1.0144694631817515,1.0336921195615945,1.023908518371936,1.0
eilB101,285.84,287.58,363.91,285.77,703.1506063715088,729.649260776427,1089.6343467437512,699.8313541341513,ok,ok,ok,ok,1072813.0,1072813.0,1323196.0,1072813.0,1.0002366703857728,1.0061196199749807,1.2641917706325863,1.0,1.0019526950301774,1.017541685279399,1.2293186272047294,1.0
enlight13,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
enlight14,0.5,0.5,0.5,0.5,1.0,2.0,3.0,3.0,ok,ok,ok,ok,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9980059820538385,0.9990029910269193,1.0,1.0
ex9,39.15,39.27,41.3,39.25,3910.0,3929.9999999999995,4130.0,3920.0000000000005,ok,ok,ok,ok,0.0,0.0,0.0,0.0,0.9979695431472081,1.0004060913705584,1.0416243654822335,1.0,0.9979674796747967,1.0020325203252032,1.0426829268292683,1.0
glass4,1525.54,1709.61,1263.89,3358.24,36138.652587761404,42951.71734299408,28260.082970319545,80752.22120530806,ok,ok,ok,ok,12484403.0,13909152.0,10995318.0,23456683.0,0.4558879414768544,0.5105366600954802,0.37820642234520113,1.0,0.45428310130550975,0.5376210786079578,0.3579117795079521,1.0
gmu-35-40,7200.0,7200.0,7200.0,7200.0,165.4928404464111,110.02762740631503,82.7010112332938,82.20426738310314,timelimit,timelimit,timelimit,timelimit,16704365.0,22388668.0,20630944.0,20892863.0,1.0,1.0,1.0,1.0,1.0769619706496902,1.0257098967928597,1.0004590111729939,1.0
iis-100-0-cov,1404.07,1393.91,1403.8,1405.91,257.05698924731183,256.4118279569892,257.62394916911046,257.05698924731183,ok,ok,ok,ok,3409618.0,3409618.0,3409618.0,3409618.0,0.9987004823752921,0.9915248850562536,0.9985097922890578,1.0,1.0,0.9994867684632908,1.0004510216534717,1.0
iis-bupa-cov,6020.45,6002.49,6023.92,6019.34,1004.2341185858515,1005.9875793637025,1000.5821739582973,1001.5314158831488,ok,ok,ok,ok,10113366.0,10113366.0,10113366.0,10113366.0,1.0001840997522116,0.9972053325903001,1.000759618797414,1.0,1.0013503174025926,1.0022263769857378,0.9995257421805529,1.0
iis-pima-cov,809.73,806.24,805.3,805.74,1110.644181922646,1088.5925093106598,1107.1027927118603,1087.6946764933223,ok,ok,ok,ok,694807.0,694807.0,694807.0,694807.0,1.0048912643734524,1.0006129403976758,0.9994606124500452,1.0,1.0109927498918911,1.0004300594466455,1.0092964342138082,1.0
lectsched-4-obj,96.05,95.57,96.82,95.71,6572.956361491965,6535.599345958479,6618.350300885904,6552.0342835698875,ok,ok,ok,ok,181389.0,181389.0,181389.0,181389.0,1.0032163466086463,0.9986756219846751,1.0105004256929335,1.0,1.002770389690576,0.9978237734371566,1.0087812124291191,1.0
m100n500k4r1,7200.0,7200.0,7200.0,7200.0,29184.4,29190.0,29184.4,29182.800000000003,timelimit,timelimit,timelimit,timelimit,105936938.0,105301030.0,105881391.0,105594240.0,1.0,1.0,1.0,1.0,1.0000530103237606,1.0002385464569223,1.0000530103237606,1.0
macrophage,182.98,182.6,182.68,183.69,431.1272280825078,424.1259902738073,425.2241355450066,431.01549524450326,ok,ok,ok,ok,489175.0,489175.0,489175.0,489175.0,0.9963343487015334,0.9943724508234808,0.9947854819557025,1.0,1.0000780794047135,0.9951855832493841,0.9959529720546408,1.0
map18,346.27,351.36,336.64,336.75,1681.086186540732,1676.1983471074382,1671.310507674144,1686.198347107438,ok,ok,ok,ok,90452.0,90452.0,90452.0,90452.0,1.0274549387166545,1.0421341023792359,0.9996827685652487,1.0,0.9980968789694137,0.9962772667138418,0.9944576544582697,1.0
map20,235.28,247.09,236.74,233.59,1410.715835140998,1410.108459869848,1408.9370932754882,1406.4425162689804,ok,ok,ok,ok,93513.0,93513.0,93513.0,93513.0,1.0069378874338026,1.0554209942936903,1.0129315653351945,1.0,1.0017757826514149,1.0015233871476603,1.0010366243904198,1.0
mcsched,280.89,280.61,278.81,281.83,158.10721086428177,158.10067682721652,155.422567391731,172.02828296707904,ok,ok,ok,ok,536268.0,536268.0,536268.0,536268.0,0.9967789466470205,0.9958194839461332,0.9896515094404277,1.0,0.9881222387675193,0.9881166637851062,0.9858316426176087,1.0
mik-250-1-100-1,95.06,95.03,95.0,95.91,42.49216982121717,49.62535029747187,47.50048704461329,26.107839170375698,ok,ok,ok,ok,1008047.0,1008047.0,1008047.0,1008047.0,0.9919743178170145,0.9916910584458503,0.9914077990746861,1.0,1.0159674549061906,1.022919141857556,1.0208483426961574,1.0
