Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neos-631784,7200.0,7200.0,7200.0,7200.0,901717.0,900387.0,904420.0,901882.0,1479.47209653092,1489.8642533936652,1489.6681749622926,1509.2760180995474,timelimit,timelimit,timelimit,timelimit,23357084.0,23326382.0,23430433.0,23363050.0,0.9998170492370398,0.998342355208331,1.0028141153720775,1.0,1.0,1.0,1.0,1.0,0.9881225017281279,0.9922639978360834,0.9921858564000842,1.0
neos-691058,7200.0,7200.0,7200.0,7200.0,11343.0,11305.0,11039.0,11114.0,187.91946308724835,187.91946308724835,190.60402684563758,188.9261744966443,timelimit,timelimit,timelimit,timelimit,51367044.0,51204264.0,49956580.0,50392181.0,1.0206046427928739,1.017185531761742,0.9932517545438186,1.0,1.0,1.0,1.0,1.0,0.9991532599491957,0.9991532599491957,1.0014112334180074,1.0
neos-691073,7200.0,7200.0,7200.0,7200.0,19444.0,19506.0,19514.0,19513.0,147.31543624161074,147.31543624161074,147.31543624161074,147.31543624161074,timelimit,timelimit,timelimit,timelimit,46858695.0,46959532.0,46976834.0,46968477.0,0.9964638958642956,0.9996412647978271,1.0000512478860246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-702280,7200.0,7200.0,7200.0,7200.0,24161.0,24566.0,23293.0,24766.0,28586.435295500443,28238.759656789938,29693.977582356525,27804.946840907392,timelimit,timelimit,timelimit,timelimit,4478145.0,4536263.0,4345654.0,4569618.0,0.9755713478155535,0.9919244125010095,0.9405232980699346,1.0,1.0,1.0,1.0,1.0,1.0271303557305378,1.0150603581488464,1.0655800808063434,1.0
neos-738098,7200.0,7200.0,7200.0,7200.0,10624.0,10602.0,10614.0,10635.0,720001.0,720000.0,720000.0,720001.0,timelimit,timelimit,timelimit,timelimit,7204583.0,7192581.0,7198045.0,7212828.0,0.9989656793606018,0.9968970380818054,0.9980253878702398,1.0,1.0,1.0,1.0,1.0,1.0,0.9999986130393717,0.9999986130393717,1.0
neos-807456,7200.0,7200.0,7200.0,7200.0,190782.0,191321.0,190648.0,190810.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,53889827.0,54064192.0,53846858.0,53899472.0,0.9998532571668152,1.0026780567056235,0.9991509878937163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-820146,7200.0,7200.0,7200.0,7200.0,2206451.0,2238334.0,2242697.0,2234169.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,106876707.0,108602833.0,108861831.0,108362205.0,0.9875935974404801,1.0018642278180387,1.003817079191413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-820157,7200.0,7200.0,7200.0,7200.0,1986490.0,1990654.0,1994770.0,1999067.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,100138298.0,100370753.0,100629152.0,100877163.0,0.9937085650455938,0.9957915367518948,0.9978504972569704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-826841,7200.0,7200.0,7200.0,7200.0,404473.0,405599.0,404470.0,402194.0,50.02702646801311,50.02661279758434,50.02688857787019,50.02647490744142,timelimit,timelimit,timelimit,timelimit,38210705.0,38293970.0,38210457.0,38010393.0,1.0056664196880112,1.0084660636409295,1.005658960601103,1.0,1.0,1.0,1.0,1.0,1.000000525282538,1.0000001313206346,1.0000003939619035,1.0
neos-839894,7200.0,7200.0,7200.0,7200.0,1048.0,1056.0,1670.0,1054.0,72120.30198516883,72202.89239648305,45062.84074744613,72120.38787628239,timelimit,timelimit,timelimit,timelimit,2168501.0,2185442.0,3503532.0,2181089.0,0.9943074003795066,1.0018975332068312,1.5844402277039848,1.0,1.0,1.0,1.0,1.0,0.9999988253465818,1.0011283381092049,0.6299589223375448,1.0
neos-841664,7200.0,7200.0,7200.0,7200.0,350682.0,344906.0,264574.0,212259.0,1178.306082662962,948.1592717189277,1208.3705794771843,1247.9723031380497,timelimit,timelimit,timelimit,timelimit,29844418.0,31258020.0,27647270.0,33705390.0,1.6521419586448631,1.6249299205216268,1.246467758728723,1.0,1.0,1.0,1.0,1.0,0.9690093065747127,0.8666295705687302,0.9823833578351548,1.0
neos-847051,7200.0,7200.0,7200.0,7200.0,1536512.0,1231596.0,1188139.0,1197910.0,49.97615150095304,52.000149249622,52.05577059518458,43.914551739340645,timelimit,timelimit,timelimit,timelimit,14836791.0,16417495.0,15913161.0,16036394.0,1.2826606339374411,1.0281206434540158,0.9918432937365912,1.0,1.0,1.0,1.0,1.0,1.0058066052930412,1.007745459143959,1.0077987406558127,1.0
neos-847302,7200.0,7200.0,7200.0,7200.0,551380.0,560123.0,558849.0,559376.0,1680.5714285714287,1646.2857142857142,1648.2857142857144,1660.2857142857142,timelimit,timelimit,timelimit,timelimit,96464581.0,97873201.0,97696547.0,97777793.0,0.9857055004147479,1.0013354166070765,0.9990578787792112,1.0,1.0,1.0,1.0,1.0,1.007625389324455,0.9947374073676297,0.9954892063151113,1.0
neos-848198,7200.0,7200.0,7200.0,7200.0,24044.0,12568.0,9922.0,18657.0,17583.681980080393,17833.062236423535,17969.330363809248,21044.42068273897,timelimit,timelimit,timelimit,timelimit,8812002.0,6914813.0,5933617.0,7870361.0,1.2887388111700702,0.6736345607546765,0.5318111164710296,1.0,1.0,1.0,1.0,1.0,0.8430106759227121,0.8543233005515103,0.8605048250899352,1.0
neos-848589,7200.0,7200.0,7200.0,7200.0,446.0,528.0,526.0,456.0,85110.83565135628,74276.03969993784,74440.3258776532,84882.78592926385,timelimit,timelimit,timelimit,timelimit,97932.0,127476.0,125895.0,102427.0,0.9780701754385965,1.1578947368421053,1.1535087719298245,1.0,1.0,1.0,1.0,1.0,1.0026553600890435,0.8764974131362937,0.8784103247394486,1.0
neos-872648,7200.0,7200.0,7200.0,7200.0,3167.0,3240.0,4038.0,3267.0,3931.7731997978417,15298.497444120449,4460.503526113768,15134.218426531403,timelimit,timelimit,timelimit,timelimit,841051.0,656198.0,774926.0,659191.0,0.9693908784817876,0.9917355371900827,1.2359963269054177,1.0,1.0,1.0,1.0,1.0,0.30567165197713847,1.0101820251372637,0.33844239502388396,1.0
neos-873061,7200.0,7200.0,7200.0,7200.0,2110.0,1932.0,1868.0,2678.0,12466.220140713569,8935.66614585561,5198.803935141884,12106.065125722293,timelimit,timelimit,timelimit,timelimit,377572.0,334884.0,398562.0,508427.0,0.7879014189693802,0.7214339058999253,0.6975354742345033,1.0,1.0,1.0,1.0,1.0,1.02748002634936,0.7580968086565983,0.47297216026921424,1.0
