Group,Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
coral,alns_u,0.0,336,0.0,0.0,104.0,0.0,232.0,104.0,0.0,191.81413313200355,4158.843345604843,29394.395259937206,0.9756766997556886,0.9746085536648944,0.972558733558304,0.8668919742489668,0.14809879051408906
coral,no-alns,0.0,336,0.0,0.0,104.0,0.0,232.0,104.0,0.0,196.59599658373946,4267.193561934204,30223.773892186266,1.0,1.0,1.0,,
Diff,alns_e,0.0,110,0.0,1.0,2.0,1.0,107.0,2.0,0.0,136.3960834975848,2712.1175056753573,10281.798551445821,0.8860517439195722,0.8803879071224542,0.6508493659297702,0.03302547112689186,0.02554833171324479
Diff,alns_g,0.0,110,0.0,0.0,5.0,0.0,105.0,5.0,0.0,137.2089093995004,2645.2929251576866,12278.623646418388,0.8913319967642814,0.8586957966356564,0.7772506312757824,0.5513003093348426,0.023696690321934485
Diff,alns_u,0.0,110,0.0,0.0,3.0,0.0,107.0,3.0,0.0,137.54990849623144,2741.42326923053,10046.820913629848,0.8935471838619291,0.8899009314619137,0.6359750182351545,0.06213182911575218,0.022242297641206738
Diff,no-alns,0.0,110,0.0,0.0,4.0,0.0,106.0,4.0,0.0,153.936927988221,3080.593774328304,15797.508747293268,1.0,1.0,1.0,,
Equal,alns_e,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,35.05094258987566,837.8110735705047,12888.249020698804,1.001947255886702,1.0,1.0023434846275288,0.8358410352255836,
Equal,alns_g,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,35.493828119316916,837.8110735705047,12876.26879653241,1.0146073416963135,1.0,1.001411759951952,0.00042796493668276724,
Equal,alns_u,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,35.29014762564838,837.8110735705047,12870.495540847838,1.0087850414490218,1.0,1.0009627629461348,0.02131415192766876,
Equal,no-alns,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,34.982822083639846,837.8110735705047,12858.116222991246,1.0,1.0,1.0,,
MIPLIB2010,alns_e,0.0,87,0.0,0.0,6.0,0.0,81.0,6.0,0.0,314.01021049329256,5992.527031317252,21610.159144453708,0.9540772359331503,0.9317478762825805,0.7631804616157157,0.6573586978812125,0.052033421360799366
MIPLIB2010,alns_g,0.0,87,0.0,0.0,7.0,0.0,80.0,7.0,0.0,321.0219136891583,6214.433216068549,23195.385905923522,0.9753813406429496,0.9662509524131426,0.8191640424629035,0.8441799239398146,0.27677204744647677
